<TICKER>,<PER>,<DATE>,<TIME>,	<OPEN>,					<HIGH>,					<LOW>,					<CLOSE>,				<VOL>
US2.AAPL,60,20191118,180000,266.0000000,266.0000000,264.2500000,264.6200000,230851
US2.AAPL,60,20191118,190000,264.5900000,265.6700000,264.5700000,265.2500000,177431
US2.AAPL,60,20191118,200000,265.2600000,266.0700000,265.1400000,265.9500000,137559
US2.AAPL,60,20191118,210000,265.9700000,266.4800000,265.4500000,266.3700000,87960
US2.AAPL,60,20191118,220000,266.3500000,266.9900000,266.1700000,266.8300000,143640
US2.AAPL,60,20191118,230000,266.8400000,267.4300000,266.5700000,267.1700000,133470
US2.AAPL,60,20191119,000000,267.1900000,267.2700000,266.6100000,267.0300000,220014
US2.AAPL,60,20191119,180000,267.9000000,267.9500000,266.5800000,266.8900000,171652
US2.AAPL,60,20191119,190000,266.8500000,267.6700000,265.6500000,265.6600000,269538
US2.AAPL,60,20191119,200000,265.6500000,266.8500000,265.4100000,266.4100000,153863
US2.AAPL,60,20191119,210000,266.4700000,266.5100000,265.8200000,265.8900000,91269
US2.AAPL,60,20191119,220000,265.8900000,266.5000000,265.6800000,266.3700000,65289
US2.AAPL,60,20191119,230000,266.4000000,267.1600000,266.4000000,266.8100000,112327
US2.AAPL,60,20191120,000000,266.7800000,267.0500000,265.9800000,266.2400000,164157
US2.AAPL,60,20191120,180000,265.5400000,266.0700000,264.8100000,265.2100000,174097
US2.AAPL,60,20191120,190000,265.2500000,265.5200000,264.2300000,265.0200000,200408
US2.AAPL,60,20191120,200000,265.0500000,265.2100000,263.4100000,263.5500000,219474
US2.AAPL,60,20191120,210000,263.5700000,264.2900000,260.7000000,261.7500000,226198
US2.AAPL,60,20191120,220000,261.6100000,262.3100000,260.4100000,262.0300000,234332
US2.AAPL,60,20191120,230000,262.0700000,262.8200000,261.2400000,262.2400000,182430
US2.AAPL,60,20191121,000000,262.2500000,263.0300000,261.8200000,262.8400000,264076
US2.AAPL,60,20191121,180000,263.5100000,263.9400000,262.8600000,263.4650000,189908
US2.AAPL,60,20191121,190000,263.5300000,264.0000000,262.2000000,262.4400000,245978
