<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,D,20191016,000000,233.3700000,235.2200000,233.2050000,234.4000000,773479
US2.AAPL,D,20191017,000000,235.4600000,236.1200000,233.5300000,235.3100000,722304
US2.AAPL,D,20191018,000000,234.6000000,237.5800000,234.2900000,236.5850000,1113398
US2.AAPL,D,20191021,000000,237.6100000,240.9800000,237.5200000,240.4800000,1107075
US2.AAPL,D,20191022,000000,241.1600000,242.2000000,239.6300000,240.1600000,1319283
US2.AAPL,D,20191023,000000,242.0650000,243.2400000,241.2300000,243.1800000,1130942
US2.AAPL,D,20191024,000000,244.4400000,244.7800000,241.8100000,243.3200000,1233601
US2.AAPL,D,20191025,000000,243.0300000,246.7200000,242.9300000,246.6600000,1399514
US2.AAPL,D,20191028,000000,247.4100000,249.1900000,246.7400000,249.1200000,1142421
US2.AAPL,D,20191029,000000,249.0500000,249.7200000,242.5800000,243.3200000,2109976
US2.AAPL,D,20191030,000000,244.7600000,245.2600000,241.2100000,243.3000000,1392361
US2.AAPL,D,20191031,000000,247.2300000,249.1700000,245.6000000,248.9100000,2011619
US2.AAPL,D,20191101,000000,249.5400000,255.8800000,249.2100000,255.8100000,3024640
US2.AAPL,D,20191104,000000,257.3900000,257.8300000,255.3900000,257.5300000,1595065
US2.AAPL,D,20191105,000000,257.0700000,258.1900000,256.3400000,257.1100000,1291399
US2.AAPL,D,20191106,000000,256.7700000,257.4800000,255.3700000,257.2300000,1301920
US2.AAPL,D,20191107,000000,258.7500000,260.3400000,258.1200000,259.4000000,1812851
US2.AAPL,D,20191108,000000,258.7000000,260.0600000,256.8500000,260.0100000,1155154
US2.AAPL,D,20191111,000000,258.3100000,262.4600000,258.3000000,262.1300000,1264161
US2.AAPL,D,20191112,000000,261.5300000,262.7900000,260.9200000,261.9200000,1359245
US2.AAPL,D,20191113,000000,261.1300000,264.7800000,261.0900000,264.5800000,1656821
US2.AAPL,D,20191114,000000,263.8900000,264.8700000,262.1000000,262.8050000,1648000
US2.AAPL,D,20191115,000000,263.8800000,265.6600000,263.0100000,265.5900000,1541239
US2.AAPL,D,20191118,000000,266.0000000,267.4300000,264.2500000,267.0300000,1130925
US2.AAPL,D,20191119,000000,267.9000000,267.9500000,265.4100000,266.2400000,1028095
US2.AAPL,D,20191120,000000,265.5400000,266.0700000,260.4100000,262.8400000,1501015
US2.AAPL,D,20191121,000000,263.5100000,264.0000000,261.2000000,262.0800000,1191640
US2.AAPL,D,20191122,000000,262.5700000,263.1700000,260.8400000,261.9300000,1093154
US2.AAPL,D,20191125,000000,262.6300000,266.3700000,262.5800000,266.3300000,1025419
US2.AAPL,D,20191126,000000,266.9400000,267.0400000,264.9800000,265.0200000,1183197
US2.AAPL,D,20191127,000000,265.8000000,267.9500000,265.3200000,267.9200000,1133272
US2.AAPL,D,20191129,000000,266.2600000,268.0000000,265.9300000,267.6100000,636955
US2.AAPL,D,20191202,000000,267.2300000,268.1900000,263.4600000,264.7600000,1388052
US2.AAPL,D,20191203,000000,258.1600000,259.5300000,256.2900000,259.4600000,1603236
US2.AAPL,D,20191204,000000,261.0300000,263.3100000,260.7000000,261.8100000,1015819
US2.AAPL,D,20191205,000000,263.7900000,265.8900000,262.7500000,265.5000000,1176694
US2.AAPL,D,20191206,000000,267.5200000,271.0000000,267.4800000,270.5800000,1967823
US2.AAPL,D,20191209,000000,270.0200000,270.7800000,264.9100000,266.9100000,1382895
US2.AAPL,D,20191210,000000,268.5800000,270.0700000,265.8700000,268.2900000,1413254
US2.AAPL,D,20191211,000000,268.7100000,271.0700000,268.6550000,270.7400000,612500
US2.AAPL,D,20191213,000000,275.2500000,275.2500000,275.2500000,275.2500000,500
US2.AAPL,D,20191216,000000,277.1400000,280.7900000,276.9900000,279.9000000,1514921
US2.AAPL,D,20191217,000000,279.8400000,281.7500000,279.2700000,280.2700000,1481415
