<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,60,20181217,180000,165.5800000,167.4600000,165.3700000,166.5100000,323654
US2.AAPL,60,20181217,190000,166.4800000,167.8700000,166.1300000,167.6900000,400121
US2.AAPL,60,20181217,200000,167.6900000,168.3500000,167.2300000,168.0400000,202139
US2.AAPL,60,20181217,210000,168.0500000,168.2700000,166.0200000,166.0800000,219517
US2.AAPL,60,20181217,220000,166.0800000,166.2200000,164.6000000,164.7600000,312973
US2.AAPL,60,20181217,230000,164.7400000,165.0900000,164.1600000,164.5000000,252490
US2.AAPL,60,20181218,000000,164.4800000,164.6100000,162.7300000,164.1000000,581399
US2.AAPL,60,20181218,180000,165.2500000,166.1800000,164.6800000,165.9700000,246013
US2.AAPL,60,20181218,190000,165.9300000,166.3200000,165.1200000,165.3800000,320842
US2.AAPL,60,20181218,200000,165.3900000,165.9600000,164.8600000,165.5900000,179978
US2.AAPL,60,20181218,210000,165.5900000,167.5200000,165.5900000,167.2800000,181821
US2.AAPL,60,20181218,220000,167.2800000,167.3300000,165.9100000,166.2900000,138140
US2.AAPL,60,20181218,230000,166.2400000,166.6400000,164.9000000,164.9300000,180826
US2.AAPL,60,20181219,000000,164.9200000,167.0000000,164.4000000,165.8100000,367157
US2.AAPL,60,20181219,180000,165.9400000,167.1400000,164.9700000,166.7500000,192599
US2.AAPL,60,20181219,190000,166.7700000,167.4300000,166.2700000,166.6200000,251598
US2.AAPL,60,20181219,200000,166.6100000,166.6800000,165.7700000,166.5700000,153189
US2.AAPL,60,20181219,210000,166.5800000,167.2400000,166.5200000,166.6200000,123119
US2.AAPL,60,20181219,220000,166.5900000,166.8500000,165.8800000,166.6900000,152893
US2.AAPL,60,20181219,230000,167.0400000,167.2600000,161.2100000,161.7400000,778679
US2.AAPL,60,20181220,000000,161.7300000,161.7400000,159.1400000,160.7600000,1009152
US2.AAPL,60,20181220,180000,160.4000000,162.0500000,159.7400000,161.5400000,380808
US2.AAPL,60,20181220,190000,161.5400000,162.0600000,160.2100000,160.5700000,471361
US2.AAPL,60,20181220,200000,160.5300000,160.7900000,158.6600000,159.3900000,612792
US2.AAPL,60,20181220,210000,159.3900000,159.6400000,157.5600000,158.3800000,608873
US2.AAPL,60,20181220,220000,158.3800000,158.4300000,156.4200000,156.5500000,517687
US2.AAPL,60,20181220,230000,156.5400000,158.5700000,155.3000000,157.6400000,623757
US2.AAPL,60,20181221,000000,157.5600000,158.3400000,156.2100000,156.8700000,740327
US2.AAPL,60,20181221,180000,156.7800000,158.1400000,155.7200000,157.2300000,366462
US2.AAPL,60,20181221,190000,157.1600000,157.7600000,155.5400000,155.9800000,575512
US2.AAPL,60,20181221,200000,156.0300000,156.0700000,154.1900000,154.4200000,488990
US2.AAPL,60,20181221,210000,154.4100000,154.4300000,152.0900000,153.8300000,541312
US2.AAPL,60,20181221,220000,153.8400000,154.3200000,152.4500000,152.8400000,377900
US2.AAPL,60,20181221,230000,152.8000000,153.6400000,152.1400000,152.3700000,302496
US2.AAPL,60,20181222,000000,152.4400000,152.5600000,149.6400000,150.8000000,560762
US2.AAPL,60,20181224,180000,148.1200000,150.1700000,147.4300000,148.4200000,531335
US2.AAPL,60,20181224,190000,148.4100000,151.5100000,147.2600000,150.7500000,575346
US2.AAPL,60,20181224,200000,150.7900000,151.3500000,148.2100000,148.5500000,118772
US2.AAPL,60,20181224,210000,148.6200000,149.0200000,146.6200000,146.6400000,257660
US2.AAPL,60,20181224,220000,146.6000000,146.8300000,146.5900000,146.8300000,2289971
US2.AAPL,60,20181226,180000,148.1400000,149.9200000,147.8500000,148.1600000,439886
US2.AAPL,60,20181226,190000,148.1500000,148.5700000,146.7800000,146.8800000,481586
